Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGAstd;10;210_cloud.tsv;0,978747228420241;0,90345226703948;00:17:51.4960000;201966;17;1;108;6;14;8;-1
OSGAstd;10;210_cloud.tsv;0,865649378759826;0,929895663535958;00:17:51.4960000;200766;15;2;108;6;14;9;-1
OSGAstd;10;210_cloud.tsv;0,748374877521292;0,915123246256564;00:17:51.4960000;207466;17;3;108;6;14;9;-1
OSGAstd;10;210_cloud.tsv;0,720143833727875;0,936517125282342;00:17:51.4960000;240866;17;4;108;6;14;9;-1
OSGAstd;10;210_cloud.tsv;0,882060872387222;0,893611415875395;00:17:51.4960000;202666;12;5;108;6;14;8;-1
OSGAstd;10;210_cloud.tsv;0,505306103098533;0,935780462504687;00:17:51.4960000;203766;15;6;108;6;14;9;-1
OSGAstd;10;210_cloud.tsv;0,64030969305107;0,910103711226666;00:17:51.4960000;208366;21;7;108;6;14;9;-1
OSGAstd;10;210_cloud.tsv;0,837328290097634;0,935230367422556;00:17:51.4960000;200966;20;8;108;6;14;8;-1
OSGAstd;10;210_cloud.tsv;0,827002815706019;0,908667632866992;00:17:51.4960000;239066;18;9;108;6;14;9;-1
OSGAstd;10;228_elusage.tsv;0,951091438665637;0,886731259497354;00:16:10.2680000;205566;15;0;55;3;14;8;-1
OSGAstd;10;228_elusage.tsv;0,842214207557589;0,87833372719816;00:16:10.2680000;203566;15;1;55;3;13;8;-1
OSGAstd;10;228_elusage.tsv;0,990681910911791;0,857277475337635;00:16:10.2680000;212566;16;2;55;3;14;9;-1
OSGAstd;10;228_elusage.tsv;0,979051513104139;0,854145443681176;00:16:10.2680000;242466;14;3;55;3;13;10;-1
OSGAstd;10;228_elusage.tsv;0,723683480087157;0,869524664516306;00:16:10.2680000;200066;14;4;55;3;14;9;-1
OSGAstd;10;228_elusage.tsv;0,965448351315745;0,867764622465007;00:16:10.2680000;219066;16;5;55;3;13;8;-1
OSGAstd;10;228_elusage.tsv;0,810454124678995;0,871698172714481;00:16:10.2680000;212166;16;6;55;3;14;9;-1
OSGAstd;10;228_elusage.tsv;0,603713044947223;0,861654721942119;00:16:10.2680000;227666;12;7;55;3;14;9;-1
OSGAstd;10;228_elusage.tsv;0,876258354029387;0,852258767410477;00:16:10.2680000;213766;22;8;55;3;14;9;-1
OSGAstd;10;228_elusage.tsv;0,883955371257002;0,865154442104961;00:16:10.2680000;222266;17;9;55;3;13;8;-1
OSGAstd;10;195_auto_price.tsv;0,935888737263108;0,871241680833166;00:20:44.0610000;207166;31;0;159;16;14;9;-1
OSGAstd;10;195_auto_price.tsv;0,813522229758695;0,898006740660352;00:20:44.0610000;217366;14;1;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,939765303173207;0,8527035165147;00:20:44.0610000;235966;17;2;159;16;14;9;-1
OSGAstd;10;195_auto_price.tsv;0,774653874114049;0,884127309450824;00:20:44.0610000;206366;28;3;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,698618673518443;0,886549980680856;00:20:44.0610000;209066;32;4;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,767981620260868;0,880534227222294;00:20:44.0610000;202266;21;5;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,760225093105603;0,880004387330182;00:20:44.0610000;203066;21;6;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,844319044226989;0,891426875038928;00:20:44.0610000;216066;23;7;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,840025369425122;0,880453803611383;00:20:44.0610000;207066;28;8;159;16;14;8;-1
OSGAstd;10;195_auto_price.tsv;0,807421044459337;0,88449612481191;00:20:44.0610000;221366;19;9;159;16;14;9;-1
OSGAstd;10;192_vineyard.tsv;0,277256624809354;0,791249120941622;00:15:50.5890000;201866;15;0;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,828207461457907;0,76959488818066;00:15:50.5890000;215666;18;1;52;3;14;9;-1
OSGAstd;10;192_vineyard.tsv;0,857141551542001;0,774793948363291;00:15:50.5890000;214066;17;2;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,638326675620961;0,783326173736028;00:15:50.5890000;225866;9;3;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,780614548836259;0,794854110728154;00:15:50.5890000;221266;14;4;52;3;13;9;-1
OSGAstd;10;192_vineyard.tsv;0,554927606693691;0,790665248201072;00:15:50.5890000;207066;15;5;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,802401245204572;0,773290018919722;00:15:50.5890000;222566;12;6;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,963963819521595;0,714867128819891;00:15:50.5890000;234466;15;7;52;3;14;9;-1
OSGAstd;10;192_vineyard.tsv;0,230368921673669;0,794479520208056;00:15:50.5890000;209166;15;8;52;3;14;8;-1
OSGAstd;10;192_vineyard.tsv;0,675382040237714;0,775001282540832;00:15:50.5890000;203466;13;9;52;3;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,456512114337452;0,385884194703614;00:58:07.8940000;223766;12;0;1000;5;14;8;-1
OSGAstd;10;1030_ERA.tsv;0,413091381969154;0,389044755398192;00:58:07.8940000;203466;11;1;1000;5;14;9;-1
OSGAstd;10;1030_ERA.tsv;0,371222257590899;0,394492543216882;00:58:07.8940000;218066;13;2;1000;5;14;8;-1
